,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
75,"Powhatan, VA",9134,301,407,366,15637,688,263,484,19130,2649,2573,19818,6987,2701,1480,7702,501,2912,590,2023,1522,5632,1969
76,"Prince Edward, VA",33472,1083,1660,1910,26988,2170,1609,2038,33897,3034,2504,36067,-4446,5642,3437,14404,1317,4643,2615,7508,6191,26214,1969
77,"Prince George + Hopewell, VA*",210693,4904,31113,11930,129812,779,436,10869,165159,6497,3393,165938,-70012,28983,7143,48909,1285,6933,37078,29845,28560,166682,1969
78,"Prince William, Manassas + Manassas Park, VA*",221277,5777,28459,12496,357721,1083,711,12025,463075,24123,4390,464158,148469,94348,12089,105730,3304,24834,34707,31912,28608,161736,1969
79,"Pulaski, VA",58933,2062,2769,3844,75589,829,333,3984,89887,6929,3064,90716,20640,8287,6840,29608,1351,7262,4691,11647,10296,46980,1969
80,"Rappahannock, VA",7607,226,234,310,11360,1183,650,381,14188,2380,2955,15371,4134,2704,1307,5201,566,3030,389,1939,1373,4188,1969
81,"Richmond (Independent City), VA",1286147,42581,75685,82010,756524,0,0,83586,1022952,72620,4076,1022952,-446037,189642,76786,251000,17483,72620,116690,197744,180261,1096837,1969
82,"Richmond, VA",14576,489,773,772,12648,528,389,875,16355,2037,2597,16883,-1053,2315,1920,6502,731,2426,1159,3372,2641,10991,1969
83,"Roanoke (Independent City), VA",376395,14202,18421,27936,257276,0,0,28170,349752,28694,3761,349752,-90949,55599,36877,93000,6933,28694,32389,62934,56001,315312,1969
84,"Roanoke + Salem, VA*",235710,7895,13311,14760,274761,647,144,15275,323818,26052,3714,324465,54326,32420,17284,87352,2284,26196,20691,33702,31418,188823,1969
85,"Rockbridge, Buena Vista + Lexington, VA*",67012,2283,3576,4350,64132,1504,963,4458,81536,5301,2704,83040,1578,11713,7195,30709,1933,6264,5751,12925,10992,54997,1969
86,"Rockingham + Harrisonburg, VA*",155609,4886,7764,8708,155533,12784,10423,9240,177997,20424,3076,190781,9164,22723,12525,62017,6288,30847,12118,30328,24040,112644,1969
87,"Russell, VA",37712,1270,2958,2340,40133,2803,2132,2440,48963,4583,2087,51766,4861,4622,7011,24807,2194,6715,4128,7369,5175,26869,1969
88,"Scott, VA",19078,621,816,724,45487,3784,3486,983,52455,4051,2285,56239,27392,4614,6138,24607,2274,7537,1178,4785,2511,10363,1969
89,"Shenandoah, VA",48388,1603,2128,2812,51455,3551,2257,3009,62877,7216,2900,66428,6076,8714,6259,22906,2499,9473,3534,10768,8269,35381,1969
90,"Smyth, VA",71178,2408,3784,4506,64285,2067,921,4661,78002,7056,2541,80069,-2232,7788,7996,31509,2239,7977,6037,14605,12366,57164,1969
91,"Southampton + Franklin, VA*",35888,1133,1574,1802,48260,4803,3195,2034,58922,5039,2479,63725,14406,9873,5592,25707,2490,8234,2475,9732,7242,25179,1969
92,"Spotsylvania + Fredericksburg, VA*",85190,2880,4295,5056,87170,1253,900,5408,115401,11024,3786,116654,7388,22264,7220,30809,2270,11924,6823,15828,13558,66443,1969
93,"Stafford, VA",21282,722,912,902,69037,420,305,1173,91901,6839,3830,92321,48928,19712,3572,24107,587,7144,1363,3385,2798,12775,1969
94,"Suffolk (Independent City), VA",86142,2904,4574,5222,120999,3428,2383,5515,146417,7283,3314,149845,40372,17639,11207,45213,2520,9666,7185,18298,15778,69291,1969
95,"Surry, VA",22676,750,675,1520,13348,1141,676,1510,15065,933,2746,16206,-7818,1613,1245,5902,684,1609,1435,3106,2422,19632,1969
96,"Sussex, VA",15916,511,703,850,21400,1781,1141,936,26567,2966,2443,28348,6420,4490,2458,11603,1318,4107,1128,4242,2924,10681,1969
97,"Tazewell, VA",67094,2353,4413,4060,79828,686,68,4383,102486,8966,2553,103172,17117,10651,12693,40411,2113,9034,6443,12682,10569,51617,1969
98,Virginia,13888586,399804,1240260,798782,14079996,210334,145097,799195,17637318,1079379,3868,17847652,990605,2788894,978762,4614000,251037,1224476,1639651,2147852,1896815,11024459,1969
99,"Virginia Beach (Independent City), VA",377981,9991,55547,23060,609479,3507,2111,21521,791792,28303,4719,795299,253019,164627,21193,168547,6845,30414,67077,65704,58859,280490,1969
100,"Warren, VA",40909,1395,2422,2466,42244,805,367,2628,52970,4645,3514,53775,3963,7277,4254,15304,1045,5012,3655,7011,5966,32242,1969
101,"Washington + Bristol, VA*",117956,3875,6005,6734,116359,6822,5579,7242,141671,13719,2656,148493,5645,17332,14802,55916,4883,19298,9372,23913,19030,89286,1969
102,"Westmoreland, VA",15341,498,685,694,21539,1607,960,845,28874,3609,2518,30481,7043,5581,3361,12103,960,4569,1032,3781,2821,9740,1969
103,"Wise + Norton, VA*",76984,2711,5920,4686,74968,353,216,5054,96538,12667,2374,96891,3038,8112,13811,40811,1551,12883,8263,12380,10829,55838,1969
104,"Wythe, VA",40134,1340,1907,2318,44380,2360,1495,2499,54980,5341,2571,57340,6745,6820,6140,22306,1995,6836,3066,9136,7141,30232,1969
105,"York + Poquoson, VA*",75618,1217,9832,2528,107390,657,232,2481,135347,5815,4200,136004,34253,23885,4729,32383,885,6047,11096,9449,8564,58475,1969
0,"Accomack, VA",56061,1651,4087,2568,56420,3002,659,2935,76370,10086,2750,79372,3294,13086,9866,28863,2603,10745,5371,11462,8859,39945,1970
1,"Albemarle + Charlottesville, VA*",268950,8704,16547,15650,209748,3751,2162,16529,291213,22125,3849,294964,-42673,65599,19617,76642,4503,24287,24372,42759,38256,220291,1970
2,"Alexandria (Independent City), VA",461219,13629,37860,27544,540767,0,0,27401,719394,23189,6510,719394,106949,154130,24497,110508,8605,23189,51632,62586,53981,386398,1970
3,"Alleghany + Covington, VA*",83077,3178,4966,6418,66004,267,210,6387,84916,5989,3029,85183,-10686,8962,10217,28118,1052,6199,8175,11867,10815,68703,1970
4,"Amelia, VA",10827,322,437,470,15630,2218,1699,557,17939,1866,2658,20157,5360,2423,2104,7583,977,3565,672,2913,1936,6590,1970
5,"Amherst, VA",39214,1367,2187,2198,56111,1302,983,2466,68626,4691,2675,69928,19363,7608,6209,26141,1189,5674,3286,7551,6362,30254,1970
6,"Appomattox, VA",17041,573,672,946,23538,1710,1476,1046,28132,3223,3047,29842,7543,3228,3076,9793,1022,4699,1145,3704,2682,11197,1970
7,"Arlington, VA",1669876,30998,245706,82552,980656,0,0,72274,1327239,46073,7635,1327239,-616946,306798,39785,173825,8331,46073,286982,151200,142869,1336821,1970
8,"Augusta, Staunton + Waynesboro, VA*",265090,8856,14326,15810,239795,6572,4845,16761,292209,23876,3488,298781,-8534,38419,20567,85665,5556,28721,22231,41054,35498,214138,1970
9,"Bath, VA",10883,388,488,672,10628,535,306,724,14148,1084,2820,14683,469,2128,1927,5207,425,1390,824,2455,2030,8669,1970
10,"Bedford, VA*",53385,1841,2977,3124,79019,3308,2403,3403,99276,7024,3121,102584,29037,13973,9592,32872,2473,9427,4539,11001,8528,39419,1970
11,"Bland, VA",7093,250,328,370,9289,685,494,435,11464,1065,2229,12149,2631,1219,1641,5450,588,1559,513,1826,1238,5021,1970
12,"Botetourt, VA",25225,969,1209,1718,44811,1212,481,1828,55717,4941,3126,56929,21414,6298,5820,18209,1323,5422,2068,4865,3542,17735,1970
13,"Brunswick, VA",28485,853,1203,1428,33492,4700,3936,1567,37195,4202,2593,41895,6574,4449,3954,16155,1825,8138,1917,6415,4590,18430,1970
14,"Buchanan, VA",88043,2825,8752,5210,69001,255,232,5430,84284,14279,2621,84539,-13612,5883,9655,32251,1226,14511,11357,10581,9355,62175,1970
15,"Buckingham, VA",13376,454,634,756,17075,1324,1073,832,21462,2278,2145,22786,4531,2940,2771,10622,880,3351,1012,2879,1999,9013,1970
16,"Campbell + Lynchburg, VA*",371885,12650,21453,23102,265411,2911,2169,24201,342244,29793,3534,345155,-82273,50435,29309,97663,5100,31962,33004,57185,52085,306919,1970
17,"Caroline, VA",20030,596,1611,986,32238,576,190,1089,40858,3464,2964,41434,13297,5768,3428,13980,897,3654,2104,3569,2672,14272,1970
18,"Carroll + Galax, VA*",60464,2118,2736,3674,53248,2083,1631,3955,69304,8174,2438,71387,-3261,8938,9201,29275,2516,9805,4573,12993,10477,46086,1970
19,"Charles City, VA",3293,113,158,152,12019,539,285,189,15145,608,2539,15684,8915,2332,1333,6178,167,893,234,767,600,2166,1970
20,"Charlotte, VA",20768,623,800,1040,24798,4028,3412,1143,27968,3497,2577,31996,5173,3956,3242,12415,2035,6909,1320,5156,3121,12539,1970
21,"Chesapeake (Independent City), VA",132349,4588,7916,8186,286319,3058,1644,8681,341876,14805,3840,344934,162651,38618,19997,89819,3350,16449,12009,22542,19192,103891,1970
