,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
44,"Hanover, VA",57256,1992,2429,3046,124349,2437,1642,3515,149848,12111,4028,152285,70608,19700,8236,37811,2369,13753,3952,10507,8138,39551,1970
45,"Henrico, VA",331143,11589,17881,20944,607474,1312,526,22061,698742,33131,4513,700054,298392,66348,26232,155114,1427,33657,28353,44396,42969,269133,1970
46,"Henry + Martinsville, VA*",234751,8015,12568,15512,188455,910,633,15771,233014,15411,3312,233924,-30525,29631,15838,70626,3161,16044,20324,38167,35006,198383,1970
47,"Highland, VA",4102,122,147,160,4232,1036,922,202,5187,812,2431,6223,332,1067,924,2560,632,1734,227,1198,566,2141,1970
48,"Isle of Wight, VA",58612,1896,3447,3724,51018,3093,2422,3758,60902,3633,3474,63995,-3836,8647,4330,18422,1439,6055,5309,9299,7860,47248,1970
49,"James City + Williamsburg, VA*",85576,2804,4568,5024,86243,35,-96,5316,109027,7184,4013,109062,5983,18115,4704,27180,1120,7088,7080,14407,13287,71408,1970
50,"King George, VA",47615,381,7740,1146,28119,91,-29,954,38000,1676,4714,38091,-18542,8444,1528,8080,409,1647,8313,4560,4151,37655,1970
51,"King William, VA",20610,701,1089,1276,19691,522,71,1339,25339,2120,3473,25861,420,4201,1969,7447,630,2191,1727,3329,2699,16692,1970
52,"King and Queen, VA",6235,213,264,268,11639,489,271,347,14589,1672,2749,15078,5751,1934,1505,5485,522,1943,398,1716,1194,3894,1970
53,"Lancaster, VA",19109,691,907,1026,17616,123,-40,1204,28567,3990,3164,28690,-289,7402,3672,9068,876,3950,1420,4022,3146,13739,1970
54,"Lee, VA",24071,811,1312,1112,27056,3838,3383,1367,37642,3554,2015,41480,4352,4278,10146,20588,2209,6937,1868,5790,3581,15266,1970
55,"Loudoun, VA",99295,2523,7270,4362,128718,4958,2955,4704,182911,12439,5038,187869,34127,51268,7883,37288,3300,15394,9451,15763,12463,74450,1970
56,"Louisa, VA",26225,894,1024,1526,31603,1477,1141,1657,39635,4024,2891,41112,7035,5382,4127,14223,1251,5165,1787,4765,3514,19273,1970
57,"Lunenburg, VA",21422,673,1009,1170,23169,3073,2541,1258,26863,2880,2573,29936,3005,3463,3304,11633,1464,5421,1594,4961,3497,14407,1970
58,"Madison, VA",13337,415,480,516,19550,1638,908,673,24159,4727,2979,25797,6886,3700,2547,8659,998,5635,738,2985,1987,6964,1970
59,"Mathews, VA",8294,338,320,332,14795,236,56,504,22808,3432,3190,23044,7005,4943,3306,7224,634,3488,486,1973,1339,4320,1970
60,"Mecklenburg, VA",68806,2163,3355,4124,59674,6636,5369,4225,70416,6818,2610,77052,-4907,10097,7281,29520,3830,12187,5417,15423,11593,51202,1970
61,"Middlesex, VA",9075,333,405,376,11028,250,-137,521,17115,3255,2771,17365,2474,3491,2846,6267,694,3118,593,2189,1495,5364,1970
62,"Montgomery + Radford, VA*",181055,5875,12857,10598,134217,1140,466,11174,167960,10356,2869,169100,-35664,21985,12898,58939,2494,10822,18156,28815,26321,152077,1970
63,"Nelson, VA",16123,589,899,882,21850,1183,672,1030,28227,2977,2534,29410,6757,3826,3734,11605,804,3649,1340,3170,2366,11134,1970
64,"New Kent, VA",6105,220,265,306,13658,167,81,373,17582,1606,3341,17749,7926,2693,1398,5313,402,1687,418,1478,1076,4000,1970
65,"Newport News (Independent City), VA",580843,16922,61889,38516,448022,0,0,36180,567803,20407,4112,567803,-96641,87530,32251,138069,4058,20407,81147,75739,71681,479289,1970
66,"Norfolk (Independent City), VA",1548876,40382,213176,102818,1001934,0,0,91791,1343026,54913,4386,1343026,-455151,261243,79849,306216,8380,54913,264585,211482,203102,1229378,1970
67,"Northampton, VA",28293,904,1451,1540,26445,3627,1866,1674,33974,4547,2601,37601,-174,6048,5108,14454,1217,6413,2221,6718,5501,19659,1970
68,"Northumberland, VA",13451,485,647,642,17071,513,310,806,25708,3467,2820,26221,4426,5427,3723,9298,848,3777,968,3047,2199,8706,1970
69,"Nottoway, VA",37865,1257,2673,2662,32663,1466,942,2588,42271,3172,3061,43737,-2614,6450,4624,14288,1270,4114,4004,7220,5950,29747,1970
70,"Orange, VA",32833,1106,1365,1812,34166,2168,1350,2012,50404,5625,3778,52572,3345,14066,4340,13914,1340,6975,2271,6655,5315,23587,1970
71,"Page, VA",33083,1212,1531,2202,37683,1022,772,2313,48523,4536,2977,49545,6913,6260,5602,16641,1220,5308,2632,6594,5374,25143,1970
72,"Patrick, VA",22978,777,1007,1304,33678,2033,1612,1429,39427,4080,2702,41460,12129,3576,4206,15345,1673,5692,1659,5252,3579,15627,1970
73,"Pittsylvania + Danville, VA*",254661,8590,12583,16490,243286,11953,9885,16835,298211,23282,2947,310164,5460,36712,30166,105238,9251,33167,20828,49002,39751,200666,1970
74,"Portsmouth (Independent City), VA",351916,7472,43631,16680,302234,0,0,15812,397326,13596,3583,397326,-33870,63368,31724,110896,3226,13596,51971,48093,44867,286349,1970
75,"Powhatan, VA",10377,345,514,436,16277,772,360,563,20422,2517,2729,21194,6463,3183,1734,7766,539,2877,732,2092,1553,6768,1970
76,"Prince Edward, VA",36954,1187,1923,2046,29779,2614,2093,2210,37335,3333,2770,39949,-4965,6347,3823,14423,1289,5426,2946,7581,6292,28582,1970
77,"Prince George + Hopewell, VA*",200052,4747,28879,12074,123684,862,535,10784,164424,6937,3467,165286,-65584,32918,8684,47671,1308,7472,34916,26091,24783,157664,1970
78,"Prince William, Manassas + Manassas Park, VA*",255314,6789,33301,16068,395013,900,514,14823,528627,24030,4710,529527,154522,119746,14768,112424,3712,24544,41335,34397,30685,189435,1970
79,"Pulaski, VA",61579,2164,3093,4018,73427,949,421,4173,89897,6251,3066,90846,16021,9147,8272,29630,1328,6672,5102,11670,10342,49805,1970
80,"Rappahannock, VA",7940,246,231,342,11807,1226,690,417,15068,2424,3138,16294,4284,2966,1521,5192,616,3114,402,1978,1362,4424,1970
81,"Richmond (Independent City), VA",1415215,46817,85507,89434,776923,0,0,91534,1075625,72934,4333,1075625,-546758,201923,96779,248240,18581,72934,130224,204791,186210,1212057,1970
82,"Richmond, VA",15941,535,947,874,13497,509,350,972,18166,2035,2867,18675,-1472,2994,2184,6514,724,2385,1384,3398,2674,12172,1970
83,"Roanoke (Independent City), VA",409073,15242,20740,30256,264861,0,0,30370,367861,35020,3998,367861,-113842,59745,43255,92013,7440,35020,35868,63884,56444,338185,1970
84,"Roanoke + Salem, VA*",253654,8480,14984,15930,287019,810,285,16445,343706,25217,3846,344516,49810,37398,20099,89568,2343,25502,22949,34196,31853,205203,1970
85,"Rockbridge, Buena Vista + Lexington, VA*",68613,2344,3762,4366,65958,1793,1276,4527,85756,5482,2866,87549,1872,13027,8564,30544,1871,6758,5945,12772,10901,55910,1970
86,"Rockingham + Harrisonburg, VA*",171800,5452,9184,9774,170278,12385,9765,10339,197799,20480,3347,210184,8817,25491,14415,62807,6209,30245,14071,31524,25315,127484,1970
87,"Russell, VA",42760,1439,3402,2696,45310,3030,2395,2787,55743,4689,2394,58773,5337,5236,8227,24553,2066,7084,4750,7532,5466,30926,1970
88,"Scott, VA",21136,674,906,786,47880,5044,4783,1067,55179,4027,2467,60223,27811,5205,7138,24407,2072,8810,1299,4564,2492,11027,1970
89,"Shenandoah, VA",53335,1768,2403,3084,55884,4270,2963,3310,68867,7754,3181,73137,5859,10094,7159,22989,2485,10717,3945,11006,8521,38673,1970
90,"Smyth, VA",71973,2430,3854,4460,65658,2589,1546,4660,81547,7163,2677,84136,-1655,8817,9661,31435,2251,8709,6084,14135,11884,57180,1970
91,"Southampton + Franklin, VA*",39256,1233,1788,1940,53737,5657,4089,2203,66110,5226,2826,71767,16684,10898,7132,25395,2459,9315,2758,9518,7059,27183,1970
92,"Spotsylvania + Fredericksburg, VA*",88995,3017,4662,5186,95339,1283,950,5610,128309,11614,4162,129592,11954,25744,8509,31136,2407,12564,7255,15840,13433,69176,1970
93,"Stafford, VA",24109,825,1022,1064,73845,423,309,1357,101955,7483,4139,102378,51093,24382,4151,24735,600,7792,1554,3677,3077,14763,1970
94,"Suffolk (Independent City), VA",91624,3090,5109,5508,125238,3722,2657,5844,154469,6543,3509,158191,39458,19666,13287,45076,2510,9200,7863,18051,15541,74561,1970
95,"Surry, VA",36300,1203,1107,2452,11815,1446,1006,2429,13728,890,2547,15174,-22056,1788,1571,5957,653,1896,2333,3663,3010,32071,1970
96,"Sussex, VA",16854,548,760,914,22552,2017,1393,1005,28262,2950,2648,30279,6703,4852,2875,11435,1258,4343,1217,4128,2870,11294,1970
97,"Tazewell, VA",75188,2626,5140,4476,90697,997,388,4864,118085,9810,2968,119082,20373,12343,16042,40117,1970,10198,7378,12715,10745,57612,1970
98,Virginia,14888650,430167,1357475,878334,14928357,210892,146828,869334,19160751,1112316,4157,19371643,909041,3263757,1179529,4659930,256564,1259144,1796642,2157657,1901093,11832864,1970
99,"Virginia Beach (Independent City), VA",407958,11107,58432,27808,647905,3538,2308,25011,878180,30447,5086,881718,264958,207907,25906,173363,7421,32755,72336,66030,58609,302867,1970
100,"Warren, VA",38951,1339,2314,2260,42856,912,518,2469,55490,4765,3658,56402,6374,8373,5173,15420,1028,5283,3444,6533,5505,30224,1970
101,"Washington + Bristol, VA*",124403,4111,6567,7076,121334,7480,6232,7649,151730,13538,2849,159210,4580,19486,18390,55877,4804,19770,10105,23838,19034,94528,1970
102,"Westmoreland, VA",15923,539,754,738,22828,1461,823,908,31923,3726,2724,33384,7813,6451,4105,12256,1022,4549,1123,3867,2845,10251,1970
103,"Wise + Norton, VA*",89998,3138,6848,5382,88018,270,146,5829,114555,15600,2849,114825,3849,9775,17032,40299,1585,15746,9539,13029,11444,64713,1970
104,"Wythe, VA",44811,1505,2232,2596,47370,2712,1870,2803,59684,5439,2808,62396,5362,7669,7357,22220,1986,7309,3530,9417,7431,33972,1970
105,"York + Poquoson, VA*",78511,1305,10697,2822,112159,689,294,2716,146345,6106,4400,147034,36364,29274,5601,33416,939,6400,12108,9423,8484,60003,1970
0,"Accomack, VA",62352,1908,5298,3046,60877,2198,-437,3431,84775,11095,3045,86973,1956,14709,11387,28560,2732,10658,6821,12325,9593,44873,1971
1,"Albemarle + Charlottesville, VA*",294474,9914,19776,17930,228524,3639,1807,18879,319973,24466,4153,323612,-47071,71633,23455,77920,4537,26273,28741,43709,39172,239460,1971
2,"Alexandria (Independent City), VA",499434,15236,44248,31508,581449,0,0,30990,793095,25972,7191,793095,113005,182523,29123,110296,9329,25972,60002,63101,53772,413460,1971
3,"Alleghany + Covington, VA*",86134,3401,5229,6788,68013,232,178,6795,89717,6394,3092,89949,-11326,9703,12233,29092,1100,6572,8623,11605,10505,70939,1971
4,"Amelia, VA",11697,372,540,556,17435,2055,1484,650,20661,2109,2968,22716,6388,2876,2405,7654,963,3593,818,3006,2043,7286,1971
5,"Amherst, VA",42493,1544,2666,2494,58944,1098,765,2791,73576,5005,2789,74674,19242,8545,7185,26779,1200,5770,3913,7635,6435,32810,1971
6,"Appomattox, VA",17801,626,787,1038,24724,1560,1289,1145,30318,3388,3193,31878,8068,3620,3534,9984,974,4677,1306,3684,2710,11818,1971
7,"Arlington, VA",1879891,35275,308086,100944,1058566,0,0,85747,1465465,55552,8398,1465465,-735578,360205,46694,174500,8918,55552,358558,152078,143160,1465781,1971
8,"Augusta, Staunton + Waynesboro, VA*",275302,9584,15585,17064,248502,6372,4440,18116,309360,26138,3600,315732,-8684,42696,24534,87707,5620,30578,24117,40415,34795,220607,1971
9,"Bath, VA",11666,446,543,782,11446,217,-30,837,15806,1158,3043,16023,617,2417,2160,5266,465,1128,934,2529,2064,9604,1971
10,"Bedford, VA*",55596,2020,3236,3430,84123,2997,2032,3735,108064,7388,3273,111061,32262,15396,11542,33931,2548,9420,4951,11065,8517,41225,1971
11,"Bland, VA",8724,321,401,510,10496,657,446,576,13134,1223,2435,13791,2348,1431,1864,5663,596,1669,656,1824,1228,6399,1971
12,"Botetourt, VA",26323,1042,1339,1800,49893,1145,334,1942,62985,5512,3458,64130,25512,7348,6889,18547,1338,5846,2239,4881,3543,18238,1971
13,"Brunswick, VA",28774,925,1341,1578,34363,3994,3135,1714,39919,4207,2706,43913,7303,5008,4542,16230,1794,7342,2130,6389,4595,19302,1971
14,"Buchanan, VA",93799,3122,9130,5936,72063,172,151,6090,91519,14151,2724,91691,-15646,7240,12388,33662,1302,14302,12098,10890,9588,67399,1971
15,"Buckingham, VA",13971,495,700,804,18570,1309,1047,897,23976,2432,2332,25285,5496,3408,3307,10841,809,3479,1102,2818,2009,9390,1971
16,"Campbell + Lynchburg, VA*",397105,14045,23902,25746,279876,2784,1986,26918,367067,31739,3674,369851,-90311,55109,34866,100665,5249,33725,36775,56942,51693,326605,1971
17,"Caroline, VA",22932,687,2210,1204,37826,664,232,1289,48132,3543,3376,48796,16183,6872,4098,14455,870,3775,2812,3859,2989,16345,1971
18,"Carroll + Galax, VA*",64741,2366,3132,4200,57480,1908,1391,4466,76078,8502,2629,77986,-2795,10040,10466,29666,2631,9893,5232,13515,10884,49616,1971
19,"Charles City, VA",3493,126,185,170,13339,610,324,211,16867,613,2754,17477,10057,2560,1578,6347,188,937,270,807,619,2286,1971
20,"Charlotte, VA",19661,618,834,986,24388,4019,3336,1111,28852,3471,2573,32871,5838,4349,4134,12775,1957,6807,1327,4788,2831,11527,1971
21,"Chesapeake (Independent City), VA",142367,5138,8986,9272,315431,2257,734,9774,383085,16586,4195,385342,182838,45549,24362,91859,3541,17320,13622,23002,19461,111425,1971
22,"Chesterfield, VA",239876,7436,19944,13152,330753,893,354,14012,397799,23971,4881,398692,104889,48465,19474,81689,1475,24325,26520,26218,24743,189031,1971
23,"Clarke, VA",23170,706,1096,1168,25393,2583,1117,1290,33030,4323,4205,35613,3513,7517,2703,8469,925,5440,1680,4415,3490,16050,1971
24,"Craig, VA",3229,129,234,176,7216,128,79,217,9955,602,2857,10083,4204,1501,1366,3529,328,681,322,861,533,2226,1971
25,"Culpeper, VA",42525,1483,2544,2426,49332,1665,253,2696,65634,6606,3572,67299,9503,11858,6109,18839,1637,6859,3757,8211,6574,31909,1971
26,"Cumberland, VA",7100,219,230,242,13288,1448,992,340,16150,2461,2793,17598,6528,2106,2204,6301,595,3453,351,1614,1019,3296,1971
27,"Dickenson, VA",36134,1219,3439,2068,33009,117,75,2253,45542,7652,2747,45659,-872,3266,9384,16623,715,7727,4473,4375,3660,23934,1971
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",191694,6686,13527,12490,201455,2716,2008,12931,265914,18078,3480,268630,22692,41701,25474,77193,3890,20086,19772,31465,27575,151836,1971
29,"Essex, VA",16957,603,1025,1012,15191,212,-86,1109,21535,2954,2944,21747,-657,3958,2598,7386,798,2868,1531,3609,2811,12558,1971
30,"Fairfax, Fairfax City + Falls Church, VA*",1466977,39343,149890,82676,2756094,1296,692,80681,3437021,115733,6917,3438317,1369798,599441,82782,497112,20189,116425,191228,161525,141336,1159324,1971
31,"Fauquier, VA",78734,2134,8458,4496,92777,5134,2453,4382,130993,11376,4932,136127,18425,35773,7577,27600,2508,13829,10706,13019,10511,54199,1971
32,"Floyd, VA",10969,425,470,536,21546,676,447,693,27943,3593,2875,28619,11270,3590,3483,9956,1255,4040,738,2830,1575,6191,1971
33,"Fluvanna, VA",11035,389,566,518,18287,910,526,648,23632,2873,3060,24542,7900,3729,2526,8019,526,3399,825,2192,1666,6811,1971
34,"Franklin, VA",46954,1648,2325,2850,68054,2888,1641,3073,84080,7648,2957,86968,24173,10563,8351,29410,2855,9289,3750,9889,7034,33915,1971
35,"Frederick + Winchester, VA*",144358,5121,7803,9226,132504,2291,67,9734,167694,16520,3704,169985,-2120,23221,14260,45890,3290,16587,12416,24100,20810,115355,1971
36,"Giles, VA",42073,1532,2873,2664,39247,443,290,2864,50884,4132,3038,51327,38,5551,6529,16895,821,4422,4205,6152,5331,33446,1971
37,"Gloucester, VA",19283,722,1032,872,45534,-10,-130,1158,62934,6036,4278,62924,27409,12570,4820,14710,1130,5906,1468,3618,2488,11909,1971
38,"Goochland, VA",13896,473,660,608,27555,749,375,777,35647,4160,3599,36396,14436,6003,2838,10114,701,4535,964,2534,1833,8397,1971
39,"Grayson, VA",23321,851,1052,1554,30436,1720,1291,1628,38198,3029,2443,39918,8743,3910,5572,16340,1413,4320,1829,5583,4170,17172,1971
40,"Greene, VA",5031,178,187,148,11690,405,302,252,14987,2351,2807,15392,6911,2140,1562,5483,370,2653,261,861,491,2117,1971
41,"Greensville + Emporia, VA*",36146,1276,2039,2394,32433,720,299,2473,42752,3989,2883,43472,-1240,5186,5853,15080,1206,4288,3236,7041,5835,28622,1971
42,"Halifax, VA",77585,2489,3562,4506,82763,10778,9104,4742,96849,8883,2890,107627,9920,12483,12381,37246,4946,17987,5815,15694,10748,53783,1971
43,"Hampton (Independent City), VA",455648,9985,71756,27068,417027,0,0,23519,542044,14535,4464,542044,-15102,93751,31266,121434,3310,14535,85290,51150,47840,355823,1971
44,"Hanover, VA",67769,2440,3009,3874,135774,2357,1422,4377,165932,13426,4278,168289,72382,22551,9964,39338,2610,14848,4946,11561,8951,47975,1971
45,"Henrico, VA",359172,12934,20386,23430,678868,1165,271,24649,786528,38201,4909,787693,344345,76103,32722,160467,1489,38472,32101,45356,43867,288599,1971
46,"Henry + Martinsville, VA*",251013,8919,13667,17484,200161,1033,734,17661,250613,16841,3501,251646,-33191,32640,18845,71888,3303,17575,22409,38571,35268,211029,1971
47,"Highland, VA",4057,137,169,186,4231,762,628,230,5694,902,2449,6456,404,1189,1036,2636,612,1530,262,1183,571,2265,1971
48,"Isle of Wight, VA",64403,2219,4068,4372,56968,1770,1014,4405,69972,3765,3715,71742,-3030,9944,4830,19310,1396,4779,6254,9530,8134,53370,1971
49,"James City + Williamsburg, VA*",107586,3669,6316,6932,104013,-57,-197,7135,131318,8052,4625,131261,3562,21604,5644,28379,1188,7855,9782,16332,15144,89949,1971
50,"King George, VA",60106,421,11898,1492,33874,194,32,1167,45987,1791,5555,46181,-25065,10513,1794,8314,863,1823,12644,5395,4532,45639,1971
51,"King William, VA",21807,774,1217,1418,21792,475,-17,1483,28122,2343,3863,28597,1468,4541,2264,7402,653,2326,1926,3379,2726,17555,1971
52,"King and Queen, VA",7175,263,321,354,13645,276,12,440,17307,1785,3178,17583,6910,2185,1753,5533,539,1797,498,1748,1209,4880,1971
53,"Lancaster, VA",19628,744,968,1098,18265,76,-96,1293,30857,4342,3450,30933,-70,8253,4415,8967,945,4246,1517,4036,3091,13865,1971
54,"Lee, VA",26342,963,1658,1388,30094,2976,2496,1657,44635,3709,2173,47611,5409,4840,12677,21911,2206,6205,2352,6108,3902,17785,1971
55,"Loudoun, VA",109616,2832,9699,4976,152734,4373,2160,5320,218480,13737,5788,222853,48438,60767,9352,38501,2913,15897,12187,15490,12577,81532,1971
56,"Louisa, VA",39031,1391,1482,2494,43311,1215,853,2638,53126,4932,3543,54341,6918,6231,4799,15339,1131,5785,2729,5711,4580,30517,1971
57,"Lunenburg, VA",22313,731,1073,1292,24191,3161,2544,1377,28688,3041,2757,31849,3255,3817,3841,11550,1433,5585,1719,4936,3503,15009,1971
58,"Madison, VA",13434,438,552,584,20154,1542,680,730,25853,4460,3079,27395,7450,4274,2967,8896,1019,5140,844,3061,2042,7450,1971
59,"Mathews, VA",9013,376,386,384,16555,225,26,568,25919,3681,3465,26144,8110,5697,3892,7545,680,3707,578,2052,1372,4728,1971
60,"Mecklenburg, VA",75193,2473,3926,4784,65016,6743,5364,4865,77976,7364,2799,84719,-5312,11157,8546,30264,3667,12728,6318,15724,12057,56147,1971
61,"Middlesex, VA",10115,383,506,478,12664,215,-268,622,19795,3515,3215,20010,3171,4068,3278,6224,779,3247,745,2400,1621,6123,1971
62,"Montgomery + Radford, VA*",189736,6443,14046,11664,143872,1189,476,12275,183084,11360,3041,184273,-33589,24536,15865,60597,2638,11836,19878,28753,26115,158022,1971
63,"Nelson, VA",14759,591,826,842,21535,672,144,1012,29332,3323,2626,30004,7788,4160,4309,11426,833,3467,1247,2888,2055,10045,1971
64,"New Kent, VA",6368,241,303,336,16045,158,67,409,20955,1711,3882,21113,10086,3286,1782,5439,490,1778,471,1561,1071,4119,1971
65,"Newport News (Independent City), VA",625587,18848,68933,43706,481163,0,0,40701,614039,22190,4390,614039,-103723,93697,39179,139868,4279,22190,90786,76601,72322,512611,1971
66,"Norfolk (Independent City), VA",1652481,43929,234983,118542,1040728,0,0,103200,1413563,60192,4679,1413563,-508553,273098,99737,302126,8839,60192,294254,204217,195378,1298035,1971
67,"Northampton, VA",29182,980,1650,1696,26719,3308,1371,1828,36056,4651,2687,39364,-635,6688,5957,14650,1161,6022,2498,6791,5630,20662,1971
68,"Northumberland, VA",13984,532,739,710,17975,333,107,887,28214,3711,2948,28547,4878,6266,4306,9684,947,3818,1094,3208,2261,9072,1971
69,"Nottoway, VA",41356,1397,3238,2978,36037,1488,776,2886,46999,3294,3313,48487,-2433,7181,5269,14636,1265,4070,4727,7303,6038,32559,1971
70,"Orange, VA",35603,1250,1565,2080,38722,2255,1305,2290,56782,5919,4019,59037,5409,14989,5326,14689,1366,7224,2605,6799,5433,25774,1971
71,"Page, VA",35232,1349,1714,2474,41406,619,330,2586,54243,4776,3213,54862,8760,7065,6391,17076,1293,5106,2951,6792,5499,27175,1971
72,"Patrick, VA",24424,858,1124,1462,37429,2124,1639,1589,44160,4421,2900,46284,14594,4037,4818,15961,1625,6060,1855,5228,3603,16509,1971
73,"Pittsylvania + Danville, VA*",269659,9447,13930,18160,259481,13066,10813,18527,321179,25575,3122,334245,8349,40247,34517,107068,9036,36388,23010,49076,40040,210261,1971
74,"Portsmouth (Independent City), VA",389305,8307,55499,19434,321250,0,0,18024,434620,14397,3899,434620,-50031,73150,40220,111482,3376,14397,65216,48240,44864,309692,1971
75,"Powhatan, VA",11966,410,663,530,20418,754,291,675,25453,2910,3192,26207,9127,3710,2079,8211,500,3201,928,2107,1607,7837,1971
76,"Prince Edward, VA",39526,1334,2195,2320,31697,2558,1999,2494,40528,3602,2902,43086,-5335,7027,4362,14848,1255,5601,3355,7653,6398,30570,1971
77,"Prince George + Hopewell, VA*",215232,5088,33903,14078,132300,620,257,12127,177078,7294,3367,177698,-70805,35087,10311,52781,1403,7551,40942,25553,24150,166739,1971
78,"Prince William, Manassas + Manassas Park, VA*",337549,9395,46156,24600,451977,969,518,21695,613059,27077,5150,614028,136123,144261,17790,119236,4350,27595,58456,40231,35881,251498,1971
79,"Pulaski, VA",64476,2350,3377,4372,74938,1102,468,4536,94072,6838,3114,95174,14998,10165,10071,30567,1395,7306,5563,11597,10202,51607,1971
80,"Rappahannock, VA",8356,275,268,394,12758,1003,392,472,16809,2792,3405,17812,4874,3275,1779,5231,622,3184,465,2053,1431,4707,1971
81,"Richmond (Independent City), VA",1544741,53079,99566,102168,821917,0,0,104163,1155652,79985,4689,1155652,-618661,215491,118244,246478,18775,79985,150650,207452,188677,1314106,1971
82,"Richmond, VA",17454,621,1107,1030,14758,280,78,1136,20539,2213,3155,20819,-1560,3698,2363,6598,769,2291,1622,3576,2807,13541,1971
83,"Roanoke (Independent City), VA",444818,17009,23881,33834,288531,0,0,33926,403387,35733,4307,403387,-122361,64136,50720,93666,7505,35733,40798,64804,57299,368287,1971
84,"Roanoke + Salem, VA*",278036,9488,17972,18060,308264,852,228,18518,373265,26928,4014,374117,48746,42697,23156,93205,2404,27156,27002,34985,32581,223878,1971
85,"Rockbridge, Buena Vista + Lexington, VA*",69908,2513,4035,4664,67054,1356,798,4845,90130,6047,2990,91486,1991,14324,10108,30597,1863,6845,6367,12266,10403,56696,1971
86,"Rockingham + Harrisonburg, VA*",189008,6257,10737,11350,184359,12217,8970,11932,217534,22299,3529,229751,7283,28595,16797,65099,6132,31269,16412,32660,26528,141327,1971
87,"Russell, VA",45115,1596,3656,3040,48553,2718,2030,3116,62186,4881,2580,64904,6554,5888,10463,25152,2106,6911,5176,8085,5979,33028,1971
88,"Scott, VA",20689,744,1009,878,48355,3641,3376,1183,58876,4407,2512,62517,28849,5853,8309,24889,2108,7783,1448,4579,2471,11458,1971
89,"Shenandoah, VA",57160,1991,2745,3546,61408,3833,2338,3764,77471,8259,3422,81304,8012,11632,8264,23762,2480,10597,4518,11019,8539,42045,1971
