,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
706,161,6774,7.4,62306,roanoke county,91541,2016,1814,1987,28036,1070415,3904368,247973,489309,410206,3671874,-950,-1882,453076,5805902,395505,48868,5804952,220582,1075551,1057527,118788,12976,393623,694412,75898,62922,2816333
707,163,2735,12.3,50570,rockbridge county,22236,2016,413,429,5214,151614,748350,51603,102630,81754,691871,-2439,-4924,92480,1352319,85818,37379,1349880,36001,339827,318182,36113,4662,80894,143507,19147,14485,523949
708,165,7575,9.7,57655,rockingham county,78093,2016,1315,1445,27349,1124567,3891020,228657,489703,390428,3101507,144208,121030,423871,4704687,376545,36434,4848895,-365642,894868,852520,133086,16227,497575,684917,84320,68093,2708528
709,167,4584,16.9,39003,russell county,27124,2016,397,450,5649,202830,412231,33481,55727,46954,408946,-2288,-4483,56958,841184,27448,30591,838896,53673,118653,311297,27423,2495,22965,79204,10196,7701,310062
710,169,4103,19.5,38612,scott county,21041,2016,238,275,3560,114798,231073,21709,35196,25178,329237,-3953,-4725,34298,684835,21543,30851,680882,132462,104062,247583,22070,2559,16818,47785,7657,5098,166470
711,171,4592,10.8,53810,shenandoah county,42519,2016,806,881,12113,430353,801126,55823,99159,78818,1055138,13623,9386,95232,1757904,106227,41235,1771527,349244,338059,378330,42962,5631,115613,138568,20710,15079,546945
712,173,5485,18.1,40140,smyth county,30304,2016,464,511,8777,332237,668506,47014,102305,71558,580342,557,-1553,82793,1075135,52045,34540,1075692,-5371,153544,341806,31143,3019,50492,138084,16441,13422,479930
713,175,2544,15.6,49595,southampton county,16308,2016,207,221,2126,82911,404754,29692,67394,43062,529110,-9470,-14465,51223,1013027,29818,38158,1003557,175579,199880,274567,26300,2439,15353,88925,11287,8848,300476
714,177,9648,7.4,81065,spotsylvania county,130378,2016,2158,2443,31225,1171816,3583253,223431,417683,373902,5127829,18,-1726,410382,7643733,376980,47812,7643751,1954958,1404724,1111198,159870,18032,375254,604634,80991,62959,2603365
715,179,7935,5.7,97607,stafford county,139211,2016,2045,2278,31902,1343130,3185204,189046,452651,340874,5355657,-3771,-4298,359483,7461237,229978,51917,7457466,2529936,1233626,868183,143641,14772,225680,623088,61061,46289,2336436
716,181,876,13.4,51810,surry county,6537,2016,71,74,1345,106114,245030,14343,48858,25868,159575,-1716,-2658,27277,261565,4620,39611,259849,-58178,36229,64045,6560,695,1962,61792,3198,2503,181276
717,183,2070,23.1,41790,sussex county,8961,2016,159,182,1961,61421,200095,13517,33485,21950,171050,-325,-1968,24492,320773,7633,28048,320448,-4553,47683,101715,11425,836,5665,44460,4838,4002,149970
718,185,7281,18.0,38992,tazewell county,40450,2016,870,1012,12724,410964,736821,56360,112230,79918,681376,1142,-74,96319,1405623,50104,33315,1406765,40874,233787,491602,42226,3611,50030,152189,19396,15785,534602
719,187,3922,10.3,65434,warren county,38078,2016,742,790,10438,364397,704542,46824,90361,76484,1148346,-2173,-3103,85066,1711849,71329,43618,1709676,528870,268341,292989,39197,4442,68226,128603,17429,12987,507713
720,191,7744,14.7,44785,washington county,52680,2016,1027,1152,18034,665313,1549048,115410,230953,177978,1251899,-2049,-6016,204399,2559097,32889,35854,2557048,-92750,566499,738650,71318,8492,26873,319942,40485,31993,1202233
721,193,2581,14.8,48983,westmoreland county,17439,2016,298,315,2539,70248,190258,15369,25722,18206,356338,17061,11041,24472,703464,23600,40835,720525,190552,184592,179595,17645,2203,34641,34825,6090,3887,120792
722,195,8525,23.5,33810,wise county,36277,2016,594,731,8214,255054,789418,57850,128114,87606,584967,-243,-364,101653,1286418,33472,29876,1286175,-102798,186587,514621,43051,2633,33108,171917,18875,16242,584393
723,197,4135,14.4,47676,wythe county,28715,2016,616,680,9530,316478,586938,41258,87055,63184,495955,-501,-3705,72850,940373,44402,32524,939872,-18133,145158,298759,28898,3298,40697,118647,15726,12428,427594
724,199,3417,5.1,87910,york county,67000,2016,1251,1400,18284,620876,1486437,95131,199819,164902,2918763,1039,42,177582,4452698,131630,55773,4453737,1609908,971528,563446,79854,8081,131672,282270,35008,26927,1072495
725,510,16096,10.5,87822,alexandria city,153295,2016,4175,4711,84594,5144599,10309655,580197,1167248,1140802,9090789,0,0,1150598,12825150,912487,81887,12825150,-68268,2935212,799149,156621,25705,912487,1737649,127045,101340,7659519
726,550,20071,8.6,71998,chesapeake city,233384,2016,4550,5375,89955,3762482,5973251,368266,733064,673456,7678167,4162,-1484,704994,11377244,324839,47890,11381406,2409910,1972938,1730301,237656,23684,323355,1069792,130010,106326,4580104
727,650,21458,16.4,50294,hampton city,130841,2016,1966,2371,42353,1717705,4265648,241639,713526,516126,3197284,0,0,499702,5407022,120158,39897,5407022,-568662,983244,1226494,135525,11984,120158,971589,76158,64174,3173901
728,700,25395,14.7,50149,newport news city,172755,2016,3086,3782,90485,4510177,7483867,421550,1104050,856912,4454730,0,0,850006,7094057,285826,39308,7094057,-2179131,1190235,1449092,180472,16159,285826,1532506,122232,106073,5665535
729,710,45219,21.3,45809,norfolk city,212296,2016,4142,5341,101136,4662353,14765230,746629,2539191,1851664,5227277,0,0,1672461,9291230,266906,37763,9291230,-7865492,2188663,1875290,246042,21457,266906,3465023,219880,198423,11033301
730,740,16775,18.2,46617,portsmouth city,92170,2016,1447,1660,27032,1034334,3945920,211584,775205,480778,2026236,0,0,451973,3503984,56964,36773,3503984,-1467711,573797,903951,95287,7547,56964,1015594,60852,53305,2873362
731,760,55062,26.2,42336,richmond city,210160,2016,5325,6129,120124,7099328,13361681,762268,1659215,1362882,6674446,0,0,1443709,11335985,1259089,50233,11335985,-5243526,2821486,1840053,225669,28126,1259089,2340656,193558,165432,9761936
732,770,21886,22.3,38238,roanoke city,98143,2016,2623,3112,68516,2997118,4546407,276290,547382,526530,2168976,0,0,539555,3947144,277382,39716,3947144,-1837876,771903,1006265,99383,9197,277382,810647,81833,72636,3458378
733,800,10303,11.7,65025,suffolk city,88060,2016,1367,1588,21887,859346,2084421,130529,268820,228308,2820725,12081,-306,244683,4387508,162452,49234,4399589,980987,815869,762995,89360,9323,162146,382974,41291,31968,1539301
734,810,36494,8.3,70596,virginia beach city,439687,2016,9314,11095,158104,6270508,13300405,765949,1748165,1466546,15444863,-5381,-7283,1499222,24299094,1362716,53805,24293713,3643680,5537995,3310855,451510,54935,1355433,2481438,266272,211337,9463534
735,1,5715,17.8,44038,accomack county,32107,2017,660,745,8625,264037,986168,59694,152088,110926,789373,31252,24155,115157,1438191,64196,44897,1469443,-81638,321957,358113,32729,3782,88351,207551,19360,15578,690266
736,3,8015,7.9,77591,albemarle county,101456,2017,2492,2808,41633,2007998,8029618,467248,1033059,804174,5865414,1620,-10881,869335,11041499,906185,70988,11043119,-1294869,4134568,1043137,155563,27594,895304,1435146,132145,104551,5699168
737,5,2160,14.5,49655,alleghany county,14897,2017,232,247,2506,78578,478344,35480,63569,55636,394905,-506,-948,63298,781109,18418,37524,780603,-20141,128314,257384,20803,1484,17470,91387,9829,8345,369487
738,7,1466,11.4,54979,amelia county,12860,2017,266,275,2011,60688,169112,12511,18446,14938,339759,17658,12955,19980,527342,28808,42007,545000,190627,76121,129120,12974,1788,41763,25915,4538,2750,101434
739,9,3855,12.7,48980,amherst county,30354,2017,535,574,6617,232520,464023,36063,66164,49276,634062,-162,-1140,60701,1126554,36409,35318,1126392,230740,177504,314826,31893,2996,35269,90802,11849,8853,337952
740,11,1855,11.9,50148,appomattox county,15588,2017,295,301,2447,63444,166767,14682,23708,16146,333063,-2021,-3077,22755,581627,22872,36882,579606,189051,86864,159679,15715,1804,19795,31781,5369,3565,115191
741,13,13284,5.7,114705,arlington county,233053,2017,5008,6386,140158,11381459,23134430,1294824,2653609,2595288,15580620,0,0,2592468,21259091,1193632,90390,21259091,-4961342,4676182,1002289,235193,35939,1193632,3951253,233632,197693,17989545
742,15,6411,8.9,58368,augusta county,72034,2017,1344,1423,20507,860895,2999220,201833,380386,310424,3032185,39577,30008,357045,5110857,299789,42246,5150434,390010,1002372,1115877,121915,14285,329797,535598,65109,50824,2133825
743,17,428,10.1,48753,bath county,4238,2017,122,127,2082,74210,134169,9138,16607,14176,113422,1504,878,16226,258342,7668,60854,259846,-4521,95479,50945,4270,601,8546,23695,3055,2454,101928
744,19,6949,9.0,65172,bedford county,77211,2017,1606,1715,15567,595647,1132115,90225,135790,117540,2077484,-7265,-9613,148995,3502046,148879,44551,3494781,1094364,676634,740663,78445,10203,139266,194560,30585,20382,798289
745,21,772,13.7,45564,bland county,5635,2017,69,73,1396,71811,130568,9349,22180,14244,116980,149,-280,16471,223396,9758,35143,223545,2883,36133,70432,6361,716,9478,29302,2818,2102,91788
746,23,2102,6.4,70388,botetourt county,32844,2017,707,750,10143,438996,640071,47101,78586,67192,989117,-2105,-3787,80697,1609968,64986,48205,1607863,429743,298501,320245,33355,4212,61199,112182,15316,11104,466690
747,25,3093,21.5,42569,brunswick county,14386,2017,237,250,2307,81639,206450,16869,30347,22838,255529,1579,-807,28288,515653,11014,31211,517232,77367,79998,181705,16572,1311,10207,41766,5457,4146,154477
748,27,5734,27.9,32993,buchanan county,20552,2017,374,403,4977,229466,432546,34451,61730,46764,328627,-301,-370,57833,719851,30910,33279,719550,-46086,86332,304591,21622,1263,30540,85112,8352,7089,316894
749,29,2600,17.5,41763,buckingham county,14857,2017,238,249,1931,70075,202651,15915,31409,20682,269251,202,-1224,26256,488411,21838,28664,488613,92856,72378,146984,17046,1554,20614,41750,5126,3572,140287
750,31,6157,11.3,50849,campbell county,54487,2017,1064,1160,16637,758759,4369412,281165,516008,495288,2603951,-145,-2742,528809,4844581,177108,35619,4844436,-1236652,848294,1392191,136007,13241,174366,763652,88979,75738,3431394
751,33,2859,9.6,62207,caroline county,29781,2017,364,390,4006,143430,365672,27214,55266,38594,793696,542,-1876,46511,1259303,35590,41386,1259845,474535,217644,248505,30441,3198,33714,74563,9498,6300,257395
752,35,4947,16.8,42262,carroll county,29446,2017,394,413,4066,110529,608087,47070,83352,66012,627196,3804,1084,80076,1228362,58676,33923,1232166,99185,180183,424787,36322,3741,59760,116358,16911,13170,431969
