,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
95," ""51939""","Pittsylvania + Danville, VA*",1734711,121579,240672,191822,1586884,13443,6064,217490,2983174,90620,28037,2996617,69663,468467,941266,106882,8819,96684,336583,49491,40672,1301444,2009
96," ""51941""","Prince George + Hopewell, VA*",1843758,94005,338315,221834,1105093,-2842,-3141,204922,1819320,31541,31167,1816478,-533743,336620,374765,58283,3535,28400,449232,31462,27927,1366126,2009
97," ""51942""","Prince William, Manassas + Manassas Park, VA*",8811777,508418,1074318,961580,15755707,-2223,-5104,989208,20305319,721162,46218,20303096,7933138,2999001,1548388,439288,48178,716058,1555108,191657,143479,6540611,2009
98," ""51944""","Roanoke + Salem, VA*",3642983,225333,472453,382882,3187816,255,-350,416774,4826128,305382,41287,4826383,-38393,842333,796234,116899,13078,305032,663894,77616,64538,2674057,2009
99," ""51945""","Rockbridge, Buena Vista + Lexington, VA*",660058,45234,87095,73022,610944,-4100,-5996,81745,1127253,68210,31240,1123153,32631,253918,258291,35952,4628,62214,123606,19525,14897,474238,2009
100," ""51947""","Rockingham + Harrisonburg, VA*",3056943,182412,402030,316100,2351444,65622,49961,340462,3583365,229189,29393,3648987,-365037,664306,633237,124144,14975,279150,560080,77220,62245,2217713,2009
101," ""51949""","Southampton + Franklin, VA*",396308,26077,56881,39460,467851,19898,16357,45807,806660,26784,30505,826558,117350,148965,209742,27096,2387,43141,76611,11292,8905,276556,2009
102," ""51951""","Spotsylvania + Fredericksburg, VA*",2843868,173693,348149,311118,4139552,-2547,-4070,329252,5926272,175560,40906,5923725,1624936,1069075,715098,144813,14152,171490,503708,72883,58731,2168670,2009
103," ""51953""","Washington + Bristol, VA*",1694099,113848,220955,165194,1414232,-3913,-7026,196445,2518756,193280,34657,2514843,-83422,493895,606716,72564,8316,186254,303552,42116,33800,1204293,2009
104," ""51955""","Wise + Norton, VA*",984844,66112,136667,110024,682543,4,-97,121124,1294492,41325,28540,1294496,-181177,165790,446163,45357,2949,41228,191679,23244,20295,751937,2009
105," ""51958""","York + Poquoson, VA*",1302040,79701,182964,140970,2505149,2308,1610,150186,3639322,122677,47080,3641630,1353295,748857,387624,77350,6292,124287,253449,32589,26297,924304,2009
0," ""51000""",Virginia,263971808,15337139,31027480,28376402,249044710,333211,79353,29525340,364912269,22237956,45519,365245480,14598242,66616486,49584284,8024004,890637,22317309,45215681,4743189,3852552,196438818,2010
1," ""51001""","Accomack, VA",669368,42187,95329,69258,603275,30526,23563,76816,1092202,51167,33868,1122728,10723,222749,296704,33150,3731,74730,129958,18051,14320,464680,2010
2," ""51007""","Amelia, VA",143066,9696,15259,13136,267116,16485,12806,16264,409097,21461,33403,425582,140314,59809,98657,12741,1662,34267,21827,4364,2702,86972,2010
3," ""51009""","Amherst, VA",456055,32277,64045,48316,576212,-2933,-3697,56435,972617,41939,29939,969684,176592,140661,252811,32389,2921,38242,88203,12472,9551,329610,2010
4," ""51011""","Appomattox, VA",152044,12286,21081,15618,269588,-3758,-4446,20095,465821,22286,30618,462063,137639,61801,130674,15091,1570,17840,28890,5112,3542,105314,2010
5," ""51013""","Arlington, VA",20274242,1078354,2394589,2190244,12735445,0,0,2173476,16591315,1642270,79263,16591315,-5365321,2976104,879766,209319,27711,1642270,3489711,210386,182675,15142261,2010
6," ""51017""","Bath, VA",109581,7373,12767,11646,90080,-1125,-1660,13196,183263,18057,38580,182138,-6305,51023,41035,4721,637,16397,18590,2883,2246,74594,2010
7," ""51019""","Bedford, VA*",979217,71420,114659,102578,1714860,-4939,-6935,122709,2728569,140463,36300,2723630,858352,460526,548244,75032,9069,133528,165948,29699,20630,679741,2010
8," ""51021""","Bland, VA",113139,7761,19769,11748,106383,-1261,-1769,13635,189440,8778,27669,188179,6879,26657,55139,6801,774,7009,25643,2878,2104,80487,2010
9," ""51023""","Botetourt, VA",489107,34288,58027,51030,871217,-2247,-3636,59803,1314278,66325,39525,1312031,441913,208735,232079,33195,3979,62689,83542,13228,9249,342876,2010
10," ""51025""","Brunswick, VA",192092,14004,27653,20708,235187,6458,4678,24358,454326,10148,26492,460784,67453,63879,161718,17393,1222,14826,38007,5891,4669,139259,2010
11," ""51027""","Buchanan, VA",497943,35741,62248,54468,365755,-505,-552,62975,722400,29568,29965,721895,-69213,88941,267199,24091,1217,29016,89482,9762,8545,379445,2010
12," ""51029""","Buckingham, VA",177577,12514,24752,16886,232741,6358,5241,20957,401999,23278,23892,408357,76121,59210,116406,17092,1403,28519,33195,4846,3443,115863,2010
13," ""51033""","Caroline, VA",291482,20393,43459,30528,637040,-1805,-3690,35657,969101,32185,33785,967296,381215,138509,191747,28631,2536,28495,58723,8221,5685,204264,2010
14," ""51036""","Charles City, VA",89416,6472,10471,9304,144874,553,-608,11124,239920,12417,33146,240473,66582,39923,55676,7255,530,11809,15123,2152,1622,62484,2010
15," ""51037""","Charlotte, VA",130733,10525,19181,12674,169873,3059,1415,16862,336843,19148,27045,339902,56002,54986,115043,12568,1912,20563,25518,4869,2957,84652,2010
16," ""51041""","Chesterfield, VA",7067502,426101,843021,766002,9624324,497,-270,809102,13506060,515820,42579,13506557,3365924,2149378,1732855,317210,35341,515550,1226022,156635,121294,5325930,2010
17," ""51043""","Clarke, VA",260226,16755,23949,23666,478626,3972,-188,28588,718498,65809,51539,722470,246988,158699,85145,14018,2847,65621,35782,7039,4192,158823,2010
18," ""51045""","Craig, VA",35510,3185,5077,3342,90303,-1042,-1492,4856,155136,7685,29645,154094,59649,25039,38752,5198,640,6193,6748,1386,746,22569,2010
19," ""51047""","Culpeper, VA",836656,52925,101184,86670,1161076,986,-4013,96260,1729264,113519,36944,1730250,420680,285876,283298,46834,6276,109506,144519,21797,15521,582631,2010
20," ""51049""","Cumberland, VA",73748,5626,9175,6128,165565,9289,8237,8690,269297,12176,27781,278586,100507,38209,74812,10028,748,20413,12239,2194,1446,41096,2010
21," ""51051""","Dickenson, VA",218615,17512,29710,22610,219709,-1624,-1683,28817,454106,17111,28555,452482,29911,54678,178095,15846,858,15428,41015,5149,4291,162172,2010
